# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,
# Sat Aug 25 14:58:28 2012,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  order by pl_hostname asc,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#pl_hostname,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name
Gj 849,b,1890,2.35,0.06,0.82,,,,,332.418121,-4.640729,8.77,10.37,3310,0.26,0.52,,109388
Gl 179,b,2288,2.41,0.21,0.82,,,,,73.023865,6.476539,12.12,12,3200,0.19,0.4,,22627
Gl 581,b,5.36874,0.04,0,0.04924,,,,,229.861771,-7.72228,6.27,10.56,3330,0.28,0.33,,74995
Gl 581,c,12.9292,0.07,0.17,0.0169,,,,,229.861771,-7.72228,6.27,10.56,3330,0.28,0.33,,74995
Gl 581,d,66.8,0.22,0.38,0.0223,,,,,229.861771,-7.72228,6.27,10.56,3330,0.28,0.33,,74995
Gl 581,e,3.14942,0.03,0,0.0061,,,,,229.861771,-7.72228,6.27,10.56,3330,0.28,0.33,,74995
Gl 86,b,15.76491,0.113,0.0416,3.91,,,,,32.608059,-50.823723,10.91,6.12,5230,0.82,0.77,13445,10138
Gliese 876,b,61.065,0.211,0.031,2.64,,,48.98,,343.319733,-14.2637,4.7,10.191,3160,0.17,0.38,,113020
Gliese 876,c,30.258,0.132,0.266,0.83,,,48.07,,343.319733,-14.2637,4.7,10.191,3160,0.17,0.38,,113020
Gliese 876,d,1.93785,0.021,0.139,0.02,,,50,,343.319733,-14.2637,4.7,10.191,3160,0.17,0.38,,113020
Gliese 876,e,124.26,0.3343,0.055,0.046,,,,,343.319733,-14.2637,4.7,10.191,3160,0.17,0.38,,113020
HAT-P-11,b,4.8878162,0.053,0.198,0.081,0.422,1.33,88.5,0,297.709351,48.080856,36.36,9.472,4510,0.66,0.88,,97657
HAT-P-2,b,5.6334729,0.06878,0.5171,9.09,1.157,7.29,86.72,,245.151489,41.048084,135.32,8.689,6450,1.29,1.75,147506,80076
HD 100655,b,157.57,0.76,0.085,1.7,,,,,173.76564,20.441545,140.85,6.438,4780,,11.32,100655,56508
HD 100777,b,383.7,1.03,0.36,1.16,,,,,173.964676,-4.755697,52.8,8.418,5340,0.85,1.23,100777,56572
HD 10180,c,5.75979,0.0641,0.045,0.04122,,,,,24.473234,-60.511528,39.39,7.321,5790,1.06,1.23,10180,7599
HD 10180,d,16.3579,0.1286,0.088,0.03697,,,,,24.473234,-60.511528,39.39,7.321,5790,1.06,1.23,10180,7599
HD 10180,e,49.745,0.2699,0.026,0.07898,,,,,24.473234,-60.511528,39.39,7.321,5790,1.06,1.23,10180,7599
HD 10180,f,122.76,0.4929,0.135,0.0752,,,,,24.473234,-60.511528,39.39,7.321,5790,1.06,1.23,10180,7599
HD 10180,g,601.2,1.422,0.19,0.06733,,,,,24.473234,-60.511528,39.39,7.321,5790,1.06,1.23,10180,7599
HD 10180,h,2222,3.4,0.08,0.20263,,,,,24.473234,-60.511528,39.39,7.321,5790,1.06,1.23,10180,7599
HD 101930,b,70.46,0.302,0.11,0.3,,,,,175.875458,-58.006886,30.5,8.216,4990,0.75,0.95,101930,57172
HD 102117,b,20.8079,0.1532,0.106,0.172,,,,,176.210251,-58.703709,42,7.448,5410,0.88,1.47,102117,57291
HD 102195,b,4.113775,,0,0.45,,,,,176.426224,2.821483,28.98,8.062,5200,0.81,0.85,102195,57370
HD 102272,b,127.58,0.614,0.05,5.9,,,,,176.598068,14.123986,164.2,8.711,4880,,4.34,102272,57428
HD 102272,c,520,1.57,0.68,2.6,,,,,176.598068,14.123986,164.2,8.711,4880,,4.34,102272,57428
HD 102329,b,778.1,2.01,0.211,5.9,,,,,176.694351,3.474293,138.5,7.886,4760,,5.8,102329,57467
HD 102365,b,122.1,0.46,0.34,0.05,,,,,176.629471,-40.500355,9.24,4.91,5680,1,0.92,102365,57443
HD 102956,b,6.495,0.081,0.048,0.96,,,,,177.843796,57.640736,121.07,7.851,4900,,4.7,102956,57820
HD 103197,b,47.8,,,0.1,,,,,178.220749,-50.292824,49.33,9.391,5020,0.76,0.87,103197,57931
HD 104067,b,55.806,0.2643,,0.186,,,,,179.791702,-20.353781,20.82,7.92,4880,0.73,0.79,104067,58451
HD 104985,b,198.2,0.78,0.03,6.3,,,,,181.312988,76.905731,102.04,5.8,4830,,10.66,104985,58952
HD 106252,b,1531,2.611,0.482,6.92,,,,,183.372955,10.041638,37.44,7.408,5830,1.08,1.1,106252,59610
HD 106270,b,2890,4.3,0.402,11,,,,,183.40535,-9.513381,87.87,7.577,5430,0.89,2.87,106270,59625
HD 10647,b,1003,2.03,0.16,0.93,,,,,25.622149,-53.740833,17.35,5.519,6140,1.2,1.08,10647,7978
