# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,
# Sat Aug 25 14:58:28 2012,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  order by pl_hostname asc,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#pl_hostname,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name
HD 171238,b,1523,2.54,0.4,2.6,,,,,278.681976,-28.072313,44.05,8.652,5390,0.87,0.9,171238,91085
HD 17156,b,21.21663,0.1614,0.6819,3.191,1.087,3.78,86.89,,42.435364,71.753235,78.25,8.162,6100,1.27,1.5,17156,13192
HD 173416,b,323.6,1.16,0.21,2.7,,,,,280.900452,36.556606,134.95,6.037,4740,,13.45,173416,91852
HD 175167,b,1290,2.4,0.54,7.8,,,,,285.003479,-69.944244,67.02,8,5330,0.85,1.9,175167,93281
HD 175541,b,297.3,1.03,0.33,0.61,,,,,283.920349,4.265325,127.55,8.01,5050,0.77,4.19,175541,92895
HD 176051,b,1016,,,1.5,,,,,284.256714,32.901272,14.98,5.278,6060,1.18,1.07,176051,93017
HD 177830,b,406.6,1.2218,0.009,1.49,,,,,286.336548,25.92066,59.03,7.177,4670,,3.65,177830,93746
HD 177830,c,110.9,0.5137,0.3,0.15,,,,,286.336548,25.92066,59.03,7.177,4670,,3.65,177830,93746
HD 178911 B,b,71.487,0.32,0.1243,6.292,,,,,287.262939,34.59985,46.73,7.792,5400,0.88,1.4,178911,94075
HD 179079,b,14.476,0.11,0.115,0.08,,,,,287.790955,-2.638385,63.69,7.959,5540,0.93,1.66,179079,94256
HD 179949,b,3.0925,0.045,0.022,0.95,,,,,288.888458,-24.179352,27.05,6.245,6120,1.19,1.21,179949,94645
HD 180902,b,479,1.39,0.09,1.6,,,,,289.823792,-23.558155,114.55,7.778,4980,,4.37,180902,94951
HD 181342,b,663,1.78,0.177,3.3,,,,,290.267639,-23.619572,115.47,7.551,4820,,5.42,181342,95124
HD 181433,b,9.3743,0.08,0.396,0.0238,,,,,291.289856,-66.468796,26.15,8.4,4770,0.71,0.86,181433,95467
HD 181433,c,962,1.76,0.28,0.64,,,,,291.289856,-66.468796,26.15,8.4,4770,0.71,0.86,181433,95467
HD 181433,d,2172,3,0.48,0.54,,,,,291.289856,-66.468796,26.15,8.4,4770,0.71,0.86,181433,95467
HD 181720,b,956,,,0.37,,,,,290.720764,-32.919056,55.93,7.849,5950,1.12,1.28,181720,95262
HD 183263,b,634.23,1.52,0.38,3.69,,,,,292.102386,8.358054,52.83,7.861,5710,1.02,1.33,183263,95740
HD 183263,c,2950,4.25,0.253,3.82,,,,,292.102386,8.358054,52.83,7.861,5710,1.02,1.33,183263,95740
HD 185269,b,6.838,0.077,0.3,0.94,,,,,294.29892,28.499865,47.37,6.669,5900,1.11,1.91,185269,96507
HD 187085,b,986,2.05,0.47,0.75,,,,,297.391541,-37.780552,44.98,7.214,6010,1.16,1.35,187085,97546
HD 187123,b,3.097,0.042,0.03,0.52,,,,,296.742126,34.419525,47.92,7.832,5700,1,1.23,187123,97336
HD 187123,c,3810,4.89,0.252,1.99,,,,,296.742126,34.419525,47.92,7.832,5700,1,1.23,187123,97336
HD 18742,b,772,1.92,0.23,2.7,,,,,45.044407,-20.802603,127.88,7.814,5000,0.76,4.74,18742,13993
HD 188015,b,456.46,1.19,0.15,1.26,,,,,298.018921,28.100376,52.63,8.234,5500,0.91,1.23,188015,97769
HD 189567,b,14.275,0.1099,0.23,0.0316,,,,,301.386505,-67.3209,17.72,6.07,5750,1.04,1,189567,98959
HD 189733,b,2.21857578,0.03142,0,1.15,1.151,1.004,85.78,,300.182129,22.710854,19.25,7.676,5040,0.84,0.75,189733,98505
HD 190228,b,1127,2.31,0.43,4.99,,,,,300.753235,28.306856,62.11,7.296,5280,0.83,2.49,190228,98714
HD 190360,b,2891,3.92,0.36,1.502,,,,,300.905853,29.896805,15.89,5.7,5500,0.91,1.19,190360,98767
HD 190360,c,17.1,0.128,0.01,0.057,,,,,300.905853,29.896805,15.89,5.7,5500,0.91,1.19,190360,98767
HD 190647,b,1038.1,2.07,0.18,1.9,,,,,301.83197,-35.538631,54.23,7.775,5380,0.86,1.66,190647,99115
HD 190984,b,4885,,,3.1,,,,,302.877991,-64.620468,189.39,8.761,6060,1.18,2.73,190984,99496
HD 192263,b,24.348,0.15,0,0.72,,,,,303.499359,-0.866877,19.89,7.768,4930,0.74,0.79,192263,99711
HD 192310,b,74.72,0.32,0.13,0.05318,,,,,303.822449,-27.032976,8.82,5.73,5090,0.78,0.81,192310,99825
HD 192310,c,525.8,1.18,0.32,0.07552,,,,,303.822449,-27.032976,8.82,5.73,5090,0.78,0.81,192310,99825
HD 192699,b,351.5,1.16,0.149,2.5,,,,,304.025024,4.580795,67.39,6.446,5120,0.79,4.37,192699,99894
HD 195019,b,18.20163,0.1388,0.014,3.7,,,,,307.077637,18.769497,37.35,6.892,5670,0.99,1.5,195019,100970
HD 196050,b,1289,2.5,0.28,3,,,,,309.465454,-60.634483,46.93,7.493,5660,0.98,1.43,196050,101806
HD 196885,b,1333,2.37,0.48,2.58,,,,,309.966156,11.249649,32.99,6.386,6130,1.19,1.38,196885,101966
HD 197037,b,1035.7,2.07,0.22,0.79,,,,,309.887329,42.24855,32.83,6.813,6290,1.25,1.06,197037,101948
HD 19994,b,535.7,1.42,0.3,1.68,,,,,48.193485,-1.196101,22.38,5.06,6000,1.15,1.82,19994,14954
HD 20003,b,11.849,0.0974,0.4,0.0378,,,,,46.907997,-72.321892,43.08,8.367,5350,0.85,1.02,20003,14530
HD 20003,c,33.823,0.1961,0.16,0.0422,,,,,46.907997,-72.321892,43.08,8.367,5350,0.85,1.02,20003,14530
HD 200964,b,630.6,1.71,0.111,1.9,,,,,316.666016,3.803119,68.35,6.487,5070,0.77,4.48,200964,104202
HD 200964,c,829,2.03,0.113,1.3,,,,,316.666016,3.803119,68.35,6.487,5070,0.77,4.48,200964,104202
HD 202206,b,255.87,0.83,0.435,17.4,,,,,318.740692,-20.789209,46.34,8.071,5500,0.91,1.17,202206,104903
HD 202206,c,1383.4,2.55,0.267,2.44,,,,,318.740692,-20.789209,46.34,8.071,5500,0.91,1.17,202206,104903
HD 20367,b,500,1.25,0.23,1.07,,,,,49.416859,31.127048,27.13,6.399,6030,1.17,1.17,20367,15323
HD 2039,b,1183,2.2,0.67,4.9,,,,,6.084491,-56.650047,89.85,8.987,5680,0.99,1.37,2039,1931
HD 204313,b,1931,3.082,0.131,4.05,,,,,322.050873,-21.726255,47.3,8.02,5630,0.97,1.15,204313,106006
HD 204313,c,34.873,0.2103,0.17,0.054,,,,,322.050873,-21.726255,47.3,8.02,5630,0.97,1.15,204313,106006
HD 204941,b,1733,2.56,0.37,0.266,,,,,323.097961,-20.957422,26.95,8.42,5010,0.76,0.75,204941,106353
HD 205739,b,279.8,0.896,0.27,1.37,,,,,324.535034,-31.737484,90.33,8.544,6090,1.18,1.42,205739,106824
HD 206610,b,610,1.68,0.229,2.2,,,,,325.85376,-7.408253,170.07,8.346,4780,,5.68,206610,107251
HD 20781,b,29.15,0.169,0.11,0.0379,,,,,50.01226,-28.783834,35.89,8.443,5230,0.82,0.87,20781,15526
HD 20781,c,85.131,0.3456,0.28,0.0496,,,,,50.01226,-28.783834,35.89,8.443,5230,0.82,0.87,20781,15526
HD 20782,b,591.9,1.381,0.97,1.9,,,,,50.014908,-28.854071,36.02,7.367,5770,1.05,1.11,20782,15527
HD 207832,b,161.97,0.57,0.13,0.56,,,,,328.151184,-26.02656,55.31,8.786,5710,0.94,0.9,207832,107985
HD 207832,c,1155.7,2.112,0.27,0.73,,,,,328.151184,-26.02656,55.31,8.786,5710,0.94,0.9,207832,107985
HD 20794,b,18.315,0.1207,0,0.0085,,,,,49.981876,-43.069782,6.06,4.27,5530,,0.87,20794,15510
HD 20794,c,40.114,0.2036,0,0.00755,,,,,49.981876,-43.069782,6.06,4.27,5530,,0.87,20794,15510
HD 20794,d,90.309,0.3499,0,0.0151,,,,,49.981876,-43.069782,6.06,4.27,5530,,0.87,20794,15510
HD 208487,b,123,0.49,0.32,0.45,,,,,329.332703,-37.763622,43.99,7.471,6070,1.18,1.14,208487,108375
HD 20868,b,380.85,0.947,0.75,1.99,,,,,50.177895,-33.730103,44.5,9.928,4590,0.68,0.82,20868,15578
HD 209458,b,3.52474859,0.04747,0,0.714,1.38,0.362,86.59,,330.794891,18.884319,47.08,7.632,6065,1.15,1.16,209458,108859
HD 210277,b,442.1,1.1,0.472,1.23,,,,,332.374451,-7.548654,21.29,6.53,5410,0.88,1.14,210277,109378
HD 210702,b,354.8,1.2,0.094,1.9,,,,,332.963867,16.04055,55.93,5.95,4967,1.68,5.1,210702,109577
HD 212301,b,2.445715,0.036,0,0.45,,,,,336.878845,-77.717926,52.72,7.764,6080,1.18,1.19,212301,110852
HD 212771,b,373.3,1.22,0.111,2.3,,,,,336.762787,-17.263659,121.8,7.596,5080,0.78,4.76,212771,110813
HD 213240,b,951,2.03,0.45,4.5,,,,,337.751526,-49.43327,40.75,6.814,5850,1.09,1.57,213240,111143
HD 215152,b,7.2825,0.0652,0.34,0.0087,,,,,340.838745,-6.400821,21.52,8.13,4860,0.73,0.75,215152,112190
HD 215152,c,10.866,0.0852,0.38,0.0097,,,,,340.838745,-6.400821,21.52,8.13,4860,0.73,0.75,215152,112190
HD 215456,b,191.99,0.652,0.15,0.101,,,,,341.533478,-48.978821,38.64,6.629,5760,1.05,1.68,215456,112414
HD 215456,c,2277,3.394,0.19,0.246,,,,,341.533478,-48.978821,38.64,6.629,5760,1.05,1.68,215456,112414
HD 215497,b,3.93,,,0.017,,,,,341.653137,-56.599533,43.53,8.95,4910,0.74,1.01,215497,112441
HD 215497,c,567,,,0.33,,,,,341.653137,-56.599533,43.53,8.95,4910,0.74,1.01,215497,112441
HD 216435,b,1311,2.56,0.07,1.26,,,,,343.408051,-48.598286,33.29,6.04,5820,1.07,1.85,216435,113044
HD 216437,b,1294,2.7,0.34,2.1,,,,,343.66452,-70.073708,26.52,6.05,5680,1,1.56,216437,113137
HD 216770,b,118.45,0.46,0.37,0.65,,,,,343.973785,-26.658764,37.89,8.094,5170,0.8,1.12,216770,113238
HD 21693,b,22.656,0.1484,0.26,0.0322,,,,,51.80201,-58.323681,32.31,7.94,5350,0.85,0.93,21693,16085
HD 21693,c,53.881,0.2644,0.24,0.06472,,,,,51.80201,-58.323681,32.31,7.94,5350,0.85,0.93,21693,16085
HD 217107,b,7.12689,0.073,0.132,1.33,,,,,344.564758,-2.395385,19.72,6.16,5440,0.89,1.23,217107,113421
HD 217107,c,4210,5.27,0.517,2.49,,,,,344.564758,-2.395385,19.72,6.16,5440,0.89,1.23,217107,113421
HD 217786,b,1319,2.38,0.4,13,,,,,345.78418,-0.429622,54.92,7.779,5960,1.12,1.29,217786,113834
HD 218566,b,225.7,0.6873,0.3,0.21,,,,,347.294708,-2.260742,29.94,8.628,4820,0.72,0.86,218566,114322
HD 219449,b,182,0.3,,2.9,,,,,348.9729,-9.087737,45.52,4.25,4580,,12.32,219449,114855
HD 219828,b,3.8335,0.052,0,0.066,,,,,349.694733,18.64572,81.1,8.008,5660,0.99,1.95,219828,115100
HD 220773,b,3724.7,4.94,0.51,1.45,,,,,351.614349,8.643845,48.43,7.096,5840,1.09,1.64,220773,115697
HD 221287,b,456.1,1.25,0.08,3.09,,,,,352.834747,-58.209732,52.88,7.807,6260,1.24,1.1,221287,116084
HD 222582,b,572.38,1.35,0.725,7.75,,,,,355.464722,-5.985757,41.95,7.691,5720,1.02,1.14,222582,116906
HD 224693,b,26.73,0.233,0.05,0.71,,,,,359.974304,-22.428114,94.07,8.216,5700,1,2.02,224693,118319
HD 22781,b,528.07,1.167,0.8191,13.65,,,,,55.206356,31.82629,31.79,8.766,5130,0.79,0.7,22781,17187
HD 23079,b,738.459,1.65,0.1,2.61,,,,,54.929562,-52.915836,34.6,7.105,5960,1.13,1.11,23079,17096
HD 23127,b,1214,2.4,0.44,1.5,,,,,54.848495,-60.077843,89.13,8.55,5540,0.93,1.77,23127,17054
HD 231701,b,141.6,0.53,0.1,1.08,,,,,293.017334,16.474291,108.46,8.97,6210,1.22,1.34,231701,96078
HD 23596,b,1558,2.72,0.314,7.19,,,,,57.001556,40.530636,51.97,7.244,5860,1.1,1.63,23596,17747
HD 240237,b,745.7,1.9,0.4,5.3,,,,,348.925934,58.04324,307.69,,,,,240237,114840
HD 25171,b,1845,3.02,0.08,0.95,,,,,58.956001,-65.186676,56.05,7.778,6210,1.22,1.2,25171,18387
HD 2638,b,3.4442,0.044,0,0.48,,,,,7.499466,-5.764002,53.71,9.375,4930,0.74,1.01,2638,2350
HD 27442,b,423.841,1.18,0.07,1.28,,,,,64.120956,-59.302155,18.24,4.44,4540,,4.65,27442,19921
HD 27894,b,17.991,0.122,0.049,0.62,,,,,65.19603,-59.410835,42.37,9.349,4760,0.71,0.9,27894,20277
HD 28185,b,383,1.03,0.07,5.7,,,,,66.609673,-10.550821,39.56,7.81,5510,0.92,1.12,28185,20723
HD 28254,b,1117,,,1.16,,,,,66.211273,-50.622192,56.18,7.684,5400,0.87,1.78,28254,20606
HD 285968,b,8.7836,0.066,0,0.0265,,,,,70.732407,18.958172,9.42,9.98,3500,0.44,0.51,285968,21932
HD 28678,b,387.1,1.24,0.168,1.7,,,,,67.856056,4.575287,168.92,8.44,4850,0.73,5.15,28678,21109
HD 290327,b,2443,,,2.54,,,,,80.839851,-2.277619,54.92,8.944,5310,0.84,1.02,290327,25191
HD 30177,b,2819.654,3.86,0.3,9.17,,,,,70.476555,-58.020756,54.71,8.374,5260,0.83,1.35,30177,21850
HD 30562,b,1157,2.3,0.76,1.29,,,,,72.151604,-5.674045,26.5,5.78,5820,1.07,1.66,30562,22336
HD 30856,b,912,2,0.24,1.8,,,,,72.574425,-24.368839,121.07,7.911,4920,,4.5,30856,22491
HD 31253,b,466,1.26,0.3,0.5,,,,,73.681892,12.352201,53.82,7.133,5960,1.13,1.71,31253,22826
HD 31527,b,16.546,0.1253,0.13,0.0363,,,,,73.909927,-23.24188,38.01,7.484,5930,1.12,1.04,31527,22905
HD 31527,c,51.284,0.2665,0.11,0.0498,,,,,73.909927,-23.24188,38.01,7.484,5930,1.12,1.04,31527,22905
HD 31527,d,274.49,0.8181,0.38,0.0519,,,,,73.909927,-23.24188,38.01,7.484,5930,1.12,1.04,31527,22905
HD 32518,b,157.54,0.59,0.01,3.04,,,,,77.403,69.639404,117.37,6.421,4640,,10.51,32518,24003
HD 330075,b,3.369,0.043,0,0.76,,,,,237.407043,-49.963524,50.2,9.334,5050,0.77,0.9,330075,77517
HD 33142,b,326.6,1.06,0.22,1.3,,,,,76.898087,-13.98648,136.8,7.956,4950,,4.9,33142,23844
HD 33283,b,18.179,0.168,0.48,0.33,,,,,77.004219,-26.797472,86.88,8.051,5810,1.06,1.92,33283,23889
HD 33564,b,388,1.1,0.34,9.1,,,,,80.639717,79.231148,20.98,5.084,6370,1.27,1.47,33564,25110
HD 34445,b,1049,2.07,0.27,0.79,,,,,79.420746,7.353343,45.01,7.328,5750,1.04,1.43,34445,24681
HD 3651,b,62.218,0.295,0.596,0.229,,,,,9.840858,21.250473,11.11,5.86,5160,0.8,0.92,3651,3093
HD 37124,b,154.46,0.53,0.055,0.61,,,,,84.260361,20.730787,33.24,7.65,5580,0.94,0.98,37124,26381
HD 37124,c,2295,3.19,0.2,0.683,,,,,84.260361,20.730787,33.24,7.65,5580,0.94,0.98,37124,26381
HD 37124,d,843.6,1.64,0.14,0.624,,,,,84.260361,20.730787,33.24,7.65,5580,0.94,0.98,37124,26381
HD 37605,b,55,0.25,0.677,2.3,,,,,85.00721,6.060579,42.88,8.661,5130,0.79,1,37605,26664
HD 38529,b,14.309,0.129,0.29,0.78,,,,,86.64547,1.168193,42.43,5.95,5330,,3.09,38529,27253
HD 38529,c,2174.3,3.68,0.36,12.7,,,,,86.64547,1.168193,42.43,5.95,5330,,3.09,38529,27253
HD 38801,b,696.3,1.7,0,10.7,,,,,86.996567,-8.3277,99.4,8.269,5100,0.78,2.81,38801,27384
HD 38858,b,407.15,1.0376,0.27,0.0961,,,,,87.145584,-4.094648,15.56,5.97,5750,1.04,0.92,38858,27435
HD 39091,b,2063.818,3.29,0.62,10.35,,,,,84.291214,-80.469124,18.21,5.65,5890,1.11,1.18,39091,26394
HD 39194,b,5.6363,0.0519,0.2,0.0117,,,,,86.132996,-70.14357,25.59,8.075,5390,0.87,0.68,39194,27080
HD 39194,c,14.025,0.0954,0.11,0.0187,,,,,86.132996,-70.14357,25.59,8.075,5390,0.87,0.68,39194,27080
HD 39194,d,33.941,0.172,0.2,0.0162,,,,,86.132996,-70.14357,25.59,8.075,5390,0.87,0.68,39194,27080
HD 40307,b,4.3115,0.047,0,0.0132,,,,,88.51767,-60.023472,12.83,7.15,4920,0.74,0.68,40307,27887
HD 40307,c,9.62,0.081,0,0.0216,,,,,88.51767,-60.023472,12.83,7.15,4920,0.74,0.68,40307,27887
HD 40307,d,20.46,0.134,0,0.0288,,,,,88.51767,-60.023472,12.83,7.15,4920,0.74,0.68,40307,27887
HD 40979,b,267.2,0.811,0.23,3.32,,,,,91.124763,44.260445,33.33,6.735,6050,1.17,1.23,40979,28767
HD 41004 A,b,963,1.64,0.39,2.54,,,,,89.956871,-48.239693,43.03,8.621,5130,0.79,1.02,41004,28393
HD 41004 B,b,1.3283,0.0177,0.081,18.37,,,,,89.956886,-48.239841,43.03,,,,,41004,28393
HD 4113,b,526.62,1.28,0.903,1.56,,,,,10.802486,-37.982632,44.05,7.881,5480,0.91,1.22,4113,3391
HD 4203,b,431.88,1.164,0.519,2.07,,,,,11.171676,20.448927,77.82,8.687,5390,0.87,1.56,4203,3502
HD 4208,b,829,1.7,0.04,0.8,,,,,11.111043,-26.51568,32.7,7.783,5630,0.97,0.89,4208,3479
HD 4308,b,15.609,0.118,0.27,0.0405,,,,,11.163615,-65.649521,21.85,6.56,5720,1.02,1,4308,3497
HD 4313,b,356,1.19,0.041,2.3,,,,,11.41816,7.845021,131.41,7.822,4910,,5.13,4313,3574
HD 43197,b,327.8,,,0.6,,,,,93.39859,-29.89727,54.94,8.953,5200,0.81,1.08,43197,29550
HD 43691,b,36.96,0.24,0.14,2.49,,,,,94.894485,41.092304,93.2,8.024,6010,1.15,1.92,43691,30057
HD 43848,b,2371,3.4,0.69,25,,,,,94.130676,-40.53186,37.05,8.595,4910,0.74,1.01,43848,29804
HD 44219,b,472,,,0.58,,,,,95.059677,-10.725009,50.43,7.698,5680,0.99,1.39,44219,30114
HD 45184,b,5.8872,0.0638,0.3,0.04,,,,,96.182831,-28.780113,22.04,6.39,5820,1.07,1.04,45184,30503
HD 45350,b,890.76,1.92,0.778,1.79,,,,,97.19046,38.962963,48.95,7.885,5430,0.88,1.39,45350,30860
HD 45364,b,226.93,0.6813,0.1684,0.1872,,,,,96.410316,-31.480953,32.58,8.062,5400,0.88,0.86,45364,30579
HD 45364,c,342.85,0.8972,0.0974,0.6579,,,,,96.410316,-31.480953,32.58,8.062,5400,0.88,0.86,45364,30579
HD 45652,b,43.6,0.23,0.38,0.47,,,,,97.304962,10.933891,36.14,8.127,5190,0.81,1.04,45652,30905
HD 46375,b,3.024,0.041,0.04,0.249,,,,,98.302597,5.462925,33.41,7.912,5080,0.78,1.13,46375,31246
HD 47186,b,4.0845,0.05,0.038,0.07167,,,,,99.036613,-27.622297,37.84,7.626,5460,0.9,1.19,47186,31540
HD 47186,c,1353.6,2.395,0.249,0.35061,,,,,99.036613,-27.622297,37.84,7.626,5460,0.9,1.19,47186,31540
HD 47536,b,430,,0.2,5,,,,,99.44841,-32.339733,121.36,5.28,4350,,24.06,47536,31688
HD 47536,c,2500,,,7,,,,,99.44841,-32.339733,121.36,5.28,4350,,24.06,47536,31688
HD 48265,b,700,1.51,0.18,1.16,,,,,100.007195,-48.541954,87.41,8.032,5410,0.88,2.34,48265,31895
HD 49674,b,4.9437,0.058,0.23,0.115,,,,,102.877151,40.867756,40.73,8.097,5470,0.9,1.03,49674,32916
HD 50499,b,2582.7,3.86,0.23,1.71,,,,,103.008438,-33.915562,47.26,7.195,5820,1.07,1.54,50499,32970
HD 50554,b,1279,2.38,0.42,4.9,,,,,103.678436,24.245558,31.03,6.844,6010,1.15,1.1,50554,33212
HD 51608,b,14.07,0.1059,0.15,0.0413,,,,,103.713921,-55.259327,34.07,8.155,5330,0.85,0.9,51608,33229
HD 51608,c,95.415,0.3791,0.41,0.0565,,,,,103.713921,-55.259327,34.07,8.155,5330,0.85,0.9,51608,33229
HD 52265,b,118.96,0.49,0.29,1.13,,,,,105.07515,-5.367162,28.07,6.3,6000,1.15,1.29,52265,33719
HD 5319,b,675,1.75,0.12,1.94,,,,,13.755836,0.789553,100,8.047,4820,,3.73,5319,4297
HD 5388,b,777,,,1.96,,,,,13.799541,-47.405964,53.28,6.722,6330,1.27,1.78,5388,4311
HD 5608,b,792.6,1.9,0.19,1.4,,,,,14.559246,33.950886,58.17,5.98,4854,1.55,5.5,5608,4552
HD 5891,b,177.11,0.76,0.066,7.6,,,,,15.1383,20.292484,150.6,8.114,4840,,5.37,5891,4715
HD 59686,b,303,0.911,0,5.25,,,,,112.951653,17.086046,92.51,5.442,4600,,13.4,59686,36616
HD 60532,b,201.83,0.77,0.278,3.1548,,,20,,113.513252,-22.296066,25.7,4.45,6240,1.24,2.52,60532,36795
HD 60532,c,607.06,1.58,0.038,7.4634,,,20,,113.513252,-22.296066,25.7,4.45,6240,1.24,2.52,60532,36795
HD 62509,b,589.64,1.69,0.02,2.9,,,,,116.328957,28.026199,10.34,1.14,4840,,9.15,62509,37826
HD 63454,b,2.817822,0.036,0,0.38,,,,,114.841049,-78.278969,35.8,9.362,4730,0.7,0.78,63454,37284
HD 63765,b,358,0.94,0.24,0.64,,,,,116.957161,-54.264145,32.62,8.104,5430,0.89,0.84,63765,38041
HD 6434,b,22.09,0.15,0.3,0.48,,,,,16.167295,-39.488216,40.32,7.73,5890,1.11,1,6434,5054
HD 65216,b,613.1,1.37,0.41,1.21,,,,,118.422173,-63.647324,35.59,7.964,5590,0.95,0.9,65216,38558
HD 65216,c,5542,,0.15,2.24029,,,,,118.422173,-63.647324,35.59,7.964,5590,0.95,0.9,65216,38558
HD 66428,b,1973,3.18,0.465,2.82,,,,,120.869438,-1.162709,55.04,8.258,5530,0.93,1.25,66428,39417
HD 6718,b,2496,,,1.65,,,,,16.952761,-8.233706,55.01,8.45,5760,1.04,1.03,6718,5301
HD 68988,b,6.276,0.071,0.14,1.9,,,,,124.592384,61.460724,58.82,8.188,5720,1.02,1.27,68988,40687
HD 69830,b,8.667,0.0785,0.1,0.033,,,,,124.599777,-12.632174,12.58,6,5390,0.87,0.87,69830,40693
HD 69830,c,31.56,0.186,0.13,0.038,,,,,124.599777,-12.632174,12.58,6,5390,0.87,0.87,69830,40693
HD 69830,d,197,0.63,0.07,0.058,,,,,124.599777,-12.632174,12.58,6,5390,0.87,0.87,69830,40693
HD 70642,b,2231,3.3,0.1,2,,,,,125.367233,-39.70541,28.76,7.18,5530,,1.08,70642,40952
HD 7199,b,615,1.36,0.19,0.29,,,,,17.696762,-66.188164,35.88,8.027,5130,0.79,1.12,7199,5529
HD 72659,b,3177.4,4.16,0.2,2.96,,,,,128.51329,-1.568217,51.36,7.465,5850,1.09,1.46,72659,42030
HD 73256,b,2.54858,0.037,0.03,1.87,,,,,129.095901,-30.037626,36.52,8.059,5330,0.85,1.01,73256,42214
HD 73267,b,1260,2.198,0.256,3.06,,,,,129.074066,-34.45998,53.05,8.87,5300,0.84,1.02,73267,42202
HD 73526,b,188.3,0.66,0.19,2.9,,,,,129.31868,-41.319103,94.61,8.971,5460,0.9,1.6,73526,42282
HD 73526,c,377.8,1.05,0.14,2.5,,,,,129.31868,-41.319103,94.61,8.971,5460,0.9,1.6,73526,93017
HD 73534,b,1800,3.15,0.046,1.15,,,,,129.815842,12.960376,96.99,8.237,4890,,3.17,73534,42446
HD 74156,b,51.65,0.294,0.64,1.88,,,,,130.604675,4.578097,64.56,7.614,5960,1.12,1.64,74156,42723
HD 74156,c,2476,3.85,0.43,8.03,,,,,130.604675,4.578097,64.56,7.614,5960,1.12,1.64,74156,42723
HD 74156,d,346.6,1.01,0.25,0.396,,,,,130.604675,4.578097,64.56,7.614,5960,1.12,1.64,74156,42723
HD 7449,b,1275,2.3,0.82,1.11,,,,,18.622173,-5.047387,38.52,7.483,5910,1.11,1.06,7449,5806
HD 7449,c,4046,4.96,0.53,2,,,,,18.622173,-5.047387,38.52,7.483,5910,1.11,1.06,7449,5806
HD 75289,b,3.51,0.046,0.054,0.42,,,,,131.918289,-41.736794,28.94,6.37,5960,1.13,1.3,75289,43177
HD 75898,b,418.2,1.19,0.1,2.51,,,,,133.461685,33.056812,80.58,8.033,5770,1.05,1.83,75898,43674
HD 76700,b,3.971,0.049,0.13,0.197,,,,,133.481308,-66.800995,59.7,8.155,5490,0.91,1.45,76700,43686
HD 77338,b,5.7361,0.0614,0.09,0.05,,,,,135.302063,-25.527061,41.27,8.591,5370,0.93,0.88,77338,44291
HD 7924,b,5.3978,0.057,0.17,0.029,,,,,20.496313,76.710281,16.82,7.167,5160,0.8,0.77,7924,6379
HD 79498,b,1966.1,3.13,0.59,1.34,,,,,138.789169,23.375549,48.64,8.02,5540,0.93,1.23,79498,45406
HD 80606,b,111.4357,0.449,0.9332,3.94,0.98,4.828,89.32,,140.65654,50.603722,29.04,9.001,5645,0.97,0.98,80606,45982
HD 81040,b,1001.7,1.94,0.526,6.86,,,,,140.946198,20.364454,32.56,7.716,5670,0.99,0.89,81040,46076
HD 81688,b,184.02,0.81,0,2.7,,,,,142.166626,45.601482,88.26,5.393,4850,,10.96,81688,46471
HD 82886,b,705,1.65,0.27,1.3,,,,,143.938263,34.780743,112.23,7.625,5120,,4.23,82886,47087
HD 82943,b,441.2,1.18,0.219,1.75,,,,,143.711395,-12.129546,27.46,6.53,5760,1.05,1.25,82943,47007
HD 82943,c,219.3,0.747,0.359,2.01,,,,,143.711395,-12.129546,27.46,6.53,5760,1.05,1.25,82943,47007
HD 83443,b,2.985625,0.0406,0.008,0.4,,,,,144.299286,-43.272205,43.53,8.222,5200,0.81,1.19,83443,47202
HD 8535,b,1313,,,0.63,,,,,20.905149,-41.269802,56.34,7.686,6020,1.16,1.35,8535,6511
HD 85390,b,781,,,0.14,,,,,147.510406,-49.790268,33.96,8.526,5170,0.8,0.82,85390,48235
HD 85512,b,58.43,0.26,0.11,0.01133,,,,,147.779388,-43.502789,11.15,7.67,4310,0.66,0.76,85512,48331
HD 8574,b,227,0.757,0.297,1.8,,,,,21.302153,28.566692,44.15,7.112,5990,1.14,1.4,8574,6643
HD 86081,b,2.1375,0.039,0.008,1.5,,,,,149.024658,-3.808422,91.16,8.701,5750,1.04,1.53,86081,48711
HD 86226,b,1534,2.6,0.73,1.5,,,,,149.124359,-24.09939,42.48,7.932,5780,1.05,1.01,86226,48739
HD 86264,b,1475,2.86,0.7,7,,,,,149.240997,-15.895122,72.57,7.407,6240,1.23,1.82,86264,48780
HD 8673,b,1634,3.02,0.723,14.2,,,,,21.536604,34.5797,38.26,6.341,6390,1.28,1.49,8673,6702
HD 87883,b,2754,3.6,0.53,1.78,,,,,152.179749,34.24226,18.06,7.551,4870,0.73,0.82,87883,49699
