"Name of Satellite, Alternate Names"	Country of Operator/Owner	Operator/Owner	Users	Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																														
"Globalstar M090 (Globalstar 90, Globalstar 2-17)"	USA	Globalstar	Commercial	Communications	LEO	Intermediate	0	918	922	2.74E-04	52	103.42	700		"1,700"	12/28/2011	15  yrs.	Thales Alenia Space	Italy	Baikonur Cosmodrome	Soyuz 2.1a/Fregat	2011-080E	38044			SC - ASCR	http://www.aviationweek.com/aw/generic/story_channel.jsp?channel=space&id=news/awx/2011/12/28/awx_12_28_2011_p0-409849.xml	http://www.lib.cas.cz/space.40/2011/I080E.HTM	http://www.zarya.info/Diaries/Launches/Launches.php?year=2011#080																																																																																																																																																																																																																																	
"Globalstar M091 (Globalstar 91, Globalstar 2-9)"	USA	Globalstar	Commercial	Communications	LEO	Intermediate	0	919	932	8.91E-04	52	103.54	700		"1,700"	7/13/2011	15 yrs.	Thales Alenia Space	Italy	Baikonur Cosmodrome	Soyuz 2.1a	2011-033C	37741			SC - ASCR	http://www.lib.cas.cz/space.40/2011/033C.HTM	http://www.nasaspaceflight.com/2011/07/live-soyuz-2-1a-launch-six-globalstar-satellites/	http://space.skyrocket.de/doc_sdat/globalstar-2.htm																																																																																																																																																																																																																																	
"Globalstar M092 (Globalstar 92, Globalstar 2-16)"	USA	Globalstar	Commercial	Communications	LEO	Intermediate	0	918	922	2.74E-04	52	103.42	700		"1,700"	12/28/2011	15 yrs.	Thales Alenia Space	Italy	Baikonur Cosmodrome	Soyuz 2.1a/Fregat	2011-080D	38043			SC - ASCR	http://www.aviationweek.com/aw/generic/story_channel.jsp?channel=space&id=news/awx/2011/12/28/awx_12_28_2011_p0-409849.xml	http://www.lib.cas.cz/space.40/2011/I080D.HTM	http://www.zarya.info/Diaries/Launches/Launches.php?year=2011#080																																																																																																																																																																																																																																	
"Glonass 701 (Glonass-K, Cosmos 2471)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,116"	"19,146"	6.48E+01	64.77	675.78	935		"1,700"	2/26/2011	10 yrs.	OAO-ISS	Russia	Plesetsk Cosmodrome	Soyuz 2	2011-009A	37372	"Next generation. Will transmit more navigation signals. Five channels, four in L1 andL2 bands and one for civilian aplications in the L3 band."		SC - ASCR	http://nssdc.gsfc.nasa.gov/spacewarn/spx688.html	http://www.glonass-ianc.rsa.ru/en/GLONASS/	http://www.lib.cas.cz/space.40/2011/I009A.HTM																																																																																																																																																																																																																																	
"Glonass 712 (Uragan M, Cosmos 2413)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,134"	"19,141"	1.37E-04	64.8	676.1	"1,480"		"1,600"	12/26/2004	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton K	2004-053A	28509	"New Glonass-M type; Russia's version of the GPS system, functions the same; there has been cooperation between the two; much scaled-back constellation"		GS		http://russianforces.org/eng/news/archive/000162.shtml	http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html	http://www.globalsecurity.org/space/world/russia/glonass.htm	http://tycho.usno.navy.mil/ptti/ptti2002/paper13.pdf																																																																																																																																																																																																																															
Glonass 714 (Cosmos 2419)	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,118"	"19,125"	1.37E-04	64.8	675.39	"1,480"		"1,600"	12/25/2005	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton K	2005-050A	28915	"New Glonass-M type; Russia's version of the GPS system, functions the same; there has been cooperation between the two; much scaled-back constellation"		SC - ASCR	http://www.glonas-center.ru/nagu.txt	http://nssdc.gsfc.nasa.gov/spacewarn/spx626.html	http://www.globalsecurity.org/space/world/russia/glonass.htm																																																																																																																																																																																																																																	
"Glonass 715 (Glonass 35-1, Cosmos 2424)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,130"	"19,130"	0.00E+00	64.8	675.75	"1,480"		"1,600"	12/25/2006	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton K	2006-062C	29672			SC - ASCR	http://www.lib.cas.cz/www/space.40/INDEX1.HTM	http://www.glonass-center.ru/nagu.txt																																																																																																																																																																																																																																		
"Glonass 716 (Glonass 35-2, Cosmos 2425)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,130"	"19,130"	0.00E+00	64.8	675.75	"1,480"		"1,600"	12/25/2006	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton K	2006-062A	29670			SC - ASCR	http://www.lib.cas.cz/www/space.40/INDEX1.HTM	http://www.glonass-center.ru/nagu.txt																																																																																																																																																																																																																																		
"Glonass 717 (Glonass 35-3, Cosmos 2426)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,130"	"19,130"	0.00E+00	64.8	675.75	"1,480"		"1,600"	12/25/2006	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton K	2006-062B	29671			SC - ASCR	http://www.lib.cas.cz/www/space.40/INDEX1.HTM	http://www.glonass-center.ru/nagu.txt																																																																																																																																																																																																																																		
"Glonass 718 (Glonass 36-1, Cosmos 2431)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,083"	"19,177"	1.84E-03	64.9	675.75	"1,480"		"1,600"	10/26/2007	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton K	2007-052C	32277				http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2007/052A.HTM	http://www.glonass-center.ru/nagu.txt																																																																																																																																																																																																																																		
"Glonass 719 (Glonass 36-2, Cosmos 2432)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,094"	"19,171"	1.51E-03	64.9	675.83	"1,480"		"1,600"	10/26/2007	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton K	2007-052B	32276				http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2007/052B.HTM	http://www.glonass-center.ru/nagu.txt																																																																																																																																																																																																																																		
"Glonass 720 (Glonass 36-3, Cosmos 2433)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,124"	"19,133"	1.76E-04	64.9	675.67	"1,480"		"1,600"	10/26/2007	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton K	2007-052A	32275				http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2007/052C.HTM	http://www.glonass-center.ru/nagu.txt																																																																																																																																																																																																																																		
"Glonass 721 (Glonass 37-1, Cosmos 2434)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,142"	"19,378"	4.60E-03	64.66	680.91	"1,480"		"1,600"	12/25/2007	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2007-065A	32393				http://www.lib.cas.cz/space.40/2007/065A.HTM																																																																																																																																																																																																																																			
"Glonass 722 (Glonass 37-2, Cosmos 2435)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"18,981"	"19,126"	2.85E-03	64.65	672.7	"1,480"		"1,600"	12/25/2007	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2007-065B	32394				http://www.lib.cas.cz/space.40/2007/065B.HTM																																																																																																																																																																																																																																			
"Glonass 723 (Glonass 37-3, Cosmos 2436)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,147"	"19,365"	4.25E-03	64.67	680.75	"1,480"		"1,600"	12/25/2007	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2007-065C	32395				http://www.lib.cas.cz/space.40/2007/065C.HTM																																																																																																																																																																																																																																			
"Glonass 724 (Glonass 38-1, Cosmos 2442)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,092"	"19,141"	9.61E-04	64.79	675.2	"1,480"		"1,600"	9/25/2008	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2008-046A	33378			SC - ASCR	http://www.lib.cas.cz/space.40/2008/I042A.HTM	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:3:16005019931026290624::NO:::																																																																																																																																																																																																																																		
"Glonass 725 (Glonass 38-2, Cosmos 2443)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,134"	"19,145"	2.16E-04	64.79	676.1	"1,480"		"1,600"	9/25/2008	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2008-046B	33379			SC - ASCR	http://www.lib.cas.cz/space.40/2008/I042A.HTM	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:3:16005019931026290624::NO:::																																																																																																																																																																																																																																		
"Glonass 726 (Glonass 38-3, Cosmos 2444)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,136"	"19,141"	9.80E-05	64.82	676.07	"1,480"		"1,600"	9/25/2008	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2008-046C	33380			SC - ASCR	http://www.lib.cas.cz/space.40/2008/I042A.HTM	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:3:16005019931026290624::NO:::																																																																																																																																																																																																																																		
"Glonass 727 (Glonass 39-1, Cosmos 2447)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,112"	"19,142"	5.88E-04	64.83	675.62	"1,415"		"1,000"	12/25/2008	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2008-067A	33466			SC - ASCR 1/09	http://russianforces.org/space/navigation/glonass.shtml																																																																																																																																																																																																																																			
"Glonass 728 (Glonass 39-2, Cosmos 2448)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"18,880"	"19,129"	4.91E-03	64.79	670.75	"1,415"		"1,000"	12/25/2008	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2008-067C	33468			SC - ASCR 1/09	http://russianforces.org/space/navigation/glonass.shtml																																																																																																																																																																																																																																			
"Glonass 729 (Glonass 39-3, Cosmos 2449)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"18,922"	"19,135"	4.19E-03	64.79	671.71	"1,415"		"1,000"	12/25/2008	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2008-067B	33467			SC - ASCR 1/09	http://russianforces.org/space/navigation/glonass.shtml																																																																																																																																																																																																																																			
"Glonass 730 (Glonass 41-1, Cosmos 2456)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,132"	"19,419"	5.60E-03	64.81	681.53	"1,415"		"1,000"	12/14/2009	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2009-070A	36111			SC - ASCR	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:20:14637162736231801312::NO	http://www.lib.cas.cz/space.40/2009/070A.HTM																																																																																																																																																																																																																																		
"Glonass 731 (Glonass 42-1, Cosmos 2459)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,119"	"19,146"	5.29E-04	64.76	675.85	"1,415"		"1,000"	3/1/2010	7 yrs.	OAO-ISS	Russia	Baikonur Cosmodrome	Proton M	2010-007A	36400			SC - ASCR	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:20:2267066816636657::NO	http://www.lib.cas.cz/space.40/2010/007A.HTM																																																																																																																																																																																																																																		
"Glonass 732 (Glonass 42-3, Cosmos 2460)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,131"	"19,133"	3.92E-05	64.77	675.81	"1,415"		"1,000"	3/1/2010	7 yrs.	OAO-ISS	Russia	Baikonur Cosmodrome	Proton M	2010-007C	36402			SC - ASCR	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:20:2267066816636657::NO	http://www.lib.cas.cz/space.40/2010/007C.HTM																																																																																																																																																																																																																																		
"Glonass 733 (Glonass 41-2, Cosmos 2457)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"18,864"	"19,130"	5.24E-03	64.78	670.47	"1,415"		"1,000"	12/14/2009	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2009-070B	36112			SC - ASCR	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:20:14637162736231801312::NO	http://www.lib.cas.cz/space.40/2009/070B.HTM																																																																																																																																																																																																																																		
"Glonass 734 (Glonass 41-3, Cosmos 2458)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,098"	"19,129"	6.08E-04	64.8	675.08	"1,415"		"1,000"	12/14/2009	7 yrs.	NPO-PM	Russia	Baikonur Cosmodrome	Proton M	2009-070C	36113			SC - ASCR	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:20:14637162736231801312::NO	http://www.lib.cas.cz/space.40/2009/070C.HTM																																																																																																																																																																																																																																		
"Glonass 735 (Glonass 42-2, Cosmos 2461)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,128"	"19,135"	1.37E-04	64.77	675.81	"1,415"		"1,000"	3/1/2010	7 yrs.	OAO-ISS	Russia	Baikonur Cosmodrome	Proton M	2010-007B	36401			SC - ASCR 	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:20:2267066816636657::NO	http://www.lib.cas.cz/space.40/2010/007B.HTM																																																																																																																																																																																																																																		
"Glonass 736 (Glonass 43-1, Cosmos 2464)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"18,909"	"19,123"	4.21E-03	64.82	671.2	"1,415"		"1,000"	9/2/2010	7 yrs.	OAO-ISS	Russia	Baikonur Cosmodrome	Proton M	2010-041C	37139			SC - ASCR	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/041A.HTM&act=print	http://russianforces.org/space/navigation/glonass.shtml	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:20:177475291548413::NO	www.oosa.unvienna.org/pdf/sap/2010/moldova/presentations/1-2.pdf																																																																																																																																																																																																																																
"Glonass 737 (Glonass 43-2, Cosmos 2465)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,116"	"19,380"	5.15E-03	64.84	680.43	"1,415"		"1,000"	9/2/2010	7 yrs.	OAO-ISS	Russia	Baikonur Cosmodrome	Proton M	2010-041B	37138			SC - ASCR	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/041B.HTM&act=print	http://russianforces.org/space/navigation/glonass.shtml	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:20:177475291548413::NO	www.oosa.unvienna.org/pdf/sap/2010/moldova/presentations/1-2.pdf																																																																																																																																																																																																																																
"Glonass 738 (Glonass 43-3, Cosmos 2466)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,079"	"19,175"	1.88E-03	64.84	675.61	"1,415"		"1,000"	9/2/2010	7 yrs.	OAO-ISS	Russia	Baikonur Cosmodrome	Proton M	2010-041C	37137			SC - ASCR 	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/041C.HTM&act=print	http://russianforces.org/space/navigation/glonass.shtml	http://www.glonass-ianc.rsa.ru/pls/htmldb/f?p=202:20:177475291548413::NO	www.oosa.unvienna.org/pdf/sap/2010/moldova/presentations/1-2.pdf																																																																																																																																																																																																																																
"Glonass 742 (Glonass-M, Cosmos 2474)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,126"	"19,158"	6.48E+01	64.82	676.2	"1,415"		"1,000"	10/2/2011	10 yrs.	OAO-ISS	Russia	Plesetsk Cosmodrome	Soyuz 2	2011-055A	37829			SC - ASCR	http://www.glonass-center.ru/en/GLONASS/		http://www.lib.cas.cz/space.40//2011/055A.HTM																																																																																																																																																																																																																																	
"Glonass 743 (Glonass 44-2, Cosmos 2476)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,142"	"19,204"	6.48E+01	64.8	677.46	"1,415"		"1,000"	11/4/2011	10 yrs.	OAO-ISS	Russia	Baikonur Cosmodrome	Proton M	2011-064A	37867			SC - ASCR	http://russianforces.org/blog/2011/11/successful_launch_of_three_glo_1.shtml		http://www.lib.cas.cz/space.40/2011/064A.HTM																																																																																																																																																																																																																																	
"Glonass 744 (Glonass 44-3, Cosmos 2477)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,150"	"19,199"	6.48E+01	64.8	677.5	"1,415"		"1,000"	11/4/2011	10 yrs.	OAO-ISS	Russia	Baikonur Cosmodrome	Proton M	2011-064B	37868			SC - ASCR	http://russianforces.org/blog/2011/11/successful_launch_of_three_glo_1.shtml		http://www.lib.cas.cz/space.40/2011/064B.HTM																																																																																																																																																																																																																																	
"Glonass 745 (Glonass 44-1, Cosmos 2475)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,139"	"19,212"	6.48E+01	64.78	677.54	"1,415"		"1,000"	11/4/2011	10 yrs.	OAO-ISS	Russia	Baikonur Cosmodrome	Proton M	2011-064C	37869			SC - ASCR	http://russianforces.org/blog/2011/11/successful_launch_of_three_glo_1.shtml		http://www.lib.cas.cz/space.40/2011/064C.HTM																																																																																																																																																																																																																																	
"Glonass 746 (Glonass-M, Cosmos 2478)"	Russia	Ministry of Defense	Military/Commercial	Navigation/Global Positioning	MEO		0	"19,130"	"19,162"	6.48E+01	64.82	676.38	"1,415"		"1,000"	11/27/2011	10 yrs.	OAO-ISS	Russia	Plesetsk Cosmodrome	Soyuz 2	2011-071A	37938			SC - ASCR	http://russianforces.org/blog/2011/11/glonass_system_is_almost_compl.shtml	http://www.lib.cas.cz/space.40/2011/071A.HTM																																																																																																																																																																																																																																		
GOCE (Gravity Field and Steady-State Ocean Circulation Explorer)	ESA	European Space Operations Centre	Government	Earth Science	LEO	Sun-Synchronous	0	273	290	1.28E-03	96.71	90.14	"1,100"		"1,300"	3/17/2009		Alenia Aerospazio	Italy	Plesetsk Cosmodrome	Rokot	2009-013A	34602	Mapping of the Earth's gravity field.		SC - ASCR 3/09	http://www.esa.int/esaLP/SEMH3NITYRF_LPgoce_0.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx665.html	http://www.lib.cas.cz/space.40/2009/I007A.HTM																																																																																																																																																																																																																																	
"GOES 11 (Geostationary Operational Environmental Satellite, GOES L)"	USA	NOAA (National Oceanographic and Atmospheric Administration)	Government	Earth Science/Meteorology	GEO		-135.53	"35,761"	"35,811"	5.93E-04	0.06	1436.11	"2,105"	977		5/3/2000	5 yrs.	NASA	USA	Cape Canaveral	Atlas 2A	2000-022A	26352	Same as other GOES; orbit spare.		JM/12_08	http://www.cospas-sarsat.org/DocumentsSystemDataDocument/SD30-NOV04.pdf	http://www.wslfweb.org/docs/roadmap/irm/internet/emonitor/init/html/goes.htm	http://www.osd.noaa.gov/GOES/goes-11.asp																																																																																																																																																																																																																																	
"GOES 12 (Geostationary Operational Environmental Satellite, GOES-M)"	USA	NOAA (National Oceanographic and Atmospheric Administration)	Government	Earth Science/Meteorology	GEO		-74.87	"35,782"	"35,791"	1.07E-04	0.42	1436.09	"2,105"	977		7/23/2001	5 yrs.	NASA	USA	Cape Canaveral	Atlas 2A	2001-031A	26871	"Carries an IR imager, a ""sounder,"" and an X-ray imager."		JM/12_08	http://www.cospas-sarsat.org/DocumentsSystemDataDocument/SD30-NOV04.pdf	http://www.wslfweb.org/docs/roadmap/irm/internet/emonitor/init/html/goes.htm	http://www.osd.noaa.gov/GOES/goes-M.asp																																																																																																																																																																																																																																	
"GOES 13 (Geostationary Operational Environmental Satellite, GOES-N)"	USA	NOAA (National Oceanographic and Atmospheric Administration)	Government	Earth Science/Meteorology	GEO		-104.77	"35,768"	"35,801"	3.91E-04	0.28	1436	"3,200"	"1,533"	"2,300"	5/24/2006	7 yrs.	Boeing Satellite Systems	USA	Cape Canaveral	Delta 4	2006-018A	29155	"Will supply data critical for fast, accurate forecasts and warnings for severe weather, including tornadoes, winter storms and hurricanes."		JM/12_08	http://www.noaanews.noaa.gov/stories2006/s2636.htm	http://www.lib.cas.cz/www/space.40/2006/018A.HTM																																																																																																																																																																																																																																		
"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)"	USA	NOAA (National Oceanographic and Atmospheric Administration)	Government	Earth Science/Meteorology	GEO		-89.5	"35,170"	"35,170"	0.00E+00	0	1436	"3,200"	"1,533"	"2,300"	6/27/2009	10 yrs.	Boeing Satellite Systems	USA	Cape Canaveral	Delta 4	2009-033A	35491	Spare.		SC - ASCR	http://goespoes.gsfc.nasa.gov/goes/index.html		http://www.lib.cas.cz/space.40/2009/033A.HTM																																																																																																																																																																																																																																	
"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)"	USA	NOAA (National Oceanographic and Atmospheric Administration)	Government	Earth Science/Meteorology	GEO		-89.43	"35,786"	"35,788"	2.37E-05	0.42	1436.14	"3,175"	"2,180"		3/4/2010	10 yrs.	Boeing Satellite Systems	USA	Cape Canaveral	Delta 4	2010-008A	36411			JM/4_10	http://www.planet4589.org/space/log/geo.log	http://nssdc.gsfc.nasa.gov/spacewarn/spx677.html																																																																																																																																																																																																																																		
Gonets D1-1 	Russia	Smolensk Satellite (SmolSat)	Commercial	Communications	LEO	Intermediate	0	"1,400"	"1,413"	8.36E-04	82.5	113.92	225		40	2/18/1996		NPO PM	Russia	Plesetsk Cosmodrome	Tsyklon 3	1996-009A	23787	Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.		JMSatcat304	http://qrg.globaltuners.com/?q=Gonets+D1-2&s=1	http://www.russianspaceweb.com/gonets.html																																																																																																																																																																																																																																		
Gonets D1-2	Russia	Smolensk Satellite (SmolSat)	Commercial	Communications	LEO	Intermediate	0	"1,407"	"1,413"	3.86E-04	82.5	114	225		40	2/18/1996		NPO PM	Russia	Plesetsk Cosmodrome	Tsyklon 3	1996-009B	23788	Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.		JMSatcat304	http://qrg.globaltuners.com/?q=Gonets+D1-2&s=1	http://www.russianspaceweb.com/gonets.html																																																																																																																																																																																																																																		
Gonets D1-3 	Russia	Smolensk Satellite (SmolSat)	Commercial	Communications	LEO	Intermediate	0	"1,409"	"1,416"	4.50E-04	82.5	114.05	225		40	2/18/1996		NPO PM	Russia	Plesetsk Cosmodrome	Tsyklon 3	1996-009C	23789	Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.		JMSatcat304	http://qrg.globaltuners.com/?q=Gonets+D1-3&s=1	http://www.russianspaceweb.com/gonets.html																																																																																																																																																																																																																																		
Gonets D1-4 	Russia	Smolensk Satellite (SmolSat)	Commercial	Communications	LEO	Intermediate	0	"1,412"	"1,429"	1.09E-03	82.6	114.23	225		40	2/14/1997		NPO PM	Russia	Plesetsk Cosmodrome	Tsyklon 3	1997-006A	24728	Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.		JMSatcat304	http://qrg.globaltuners.com/?q=Gonets+D1-4&s=1	http://www.russianspaceweb.com/gonets.html																																																																																																																																																																																																																																		
Gonets D1-5 	Russia	Smolensk Satellite (SmolSat)	Commercial	Communications	LEO	Intermediate	0	"1,412"	"1,423"	7.06E-04	82.6	114.16	225		40	2/14/1997		NPO PM	Russia	Plesetsk Cosmodrome	Tsyklon 3	1997-006B	24729	Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.		JMSatcat304	http://qrg.globaltuners.com/?q=Gonets+D1-5&s=1	http://www.russianspaceweb.com/gonets.html																																																																																																																																																																																																																																		
"GOES 3 (Geostationary Operational Environmental Satellite, GOES-C)"	USA	"University of Miami, Rosenstiel School of Marine and Atmospheric Science (RSMAS) (loaned by NOAA)"	Civil	Communications	GEO		-101.44	"35,772"	"35,800"	3.32E-04	14.3	1436.08	627			6/16/1978	7 yrs.	Hughes Aircraft	USA	Cape Canaveral	Delta 2914	1978-062A	10953	Still supplying communications at South Pole; equipment scheduled to be removed in 2006.		JM/12_08	http://ice.rsmas.miami.edu/access.phtml	http://www.lib.cas.cz/www/space.40/1978/INDEX1.HTM																																																																																																																																																																																																																																		
Gonets D1-6 	Russia	Smolensk Satellite (SmolSat)	Commercial	Communications	LEO	Intermediate	0	"1,412"	"1,415"	1.93E-04	82.6	114.07	225		40	2/14/1997		NPO PM	Russia	Plesetsk Cosmodrome	Tsyklon 3	1997-006C	24730	Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.		JMSatcat304	http://www.astronautix.com/craft/gonetsd1.htm	http://nssdc.gsfc.nasa.gov/spacewarn/spx520.html	http://www.spaceandtech.com/spacedata/logs/2001/2001-058b_gonetsd1_sumpub.shtml	http://www.uhf-satcom.com/gonets/																																																																																																																																																																																																																																
Gonets D1-7	Russia	Smolensk Satellite (SmolSat)	Commercial	Communications	LEO	Intermediate	0	"1,411"	"1,418"	4.50E-04	82.5	114.1	225		40	12/28/2001		NPO PM	Russia	Plesetsk Cosmodrome	Tsyklon 3	2001-058D	27058	"Civilian reconnaissance/communications spacecraft to locate and report natural and man-made environmental disasters; relay messages, same as earlier six Gonets."		JMSatcat304	http://www.astronautix.com/craft/gonetsd1.htm	http://nssdc.gsfc.nasa.gov/spacewarn/spx579.html	http://www.spaceandtech.com/spacedata/logs/2001/2001-058b_gonetsd1_sumpub.shtml	http://www.uhf-satcom.com/gonets/																																																																																																																																																																																																																																
Gonets D1-9	Russia	Smolensk Satellite (SmolSat)	Commercial	Communications	LEO	Intermediate	0	"1,404"	"1,417"	8.35E-04	82.5	114.01	225		40	12/28/2001		NPO PM	Russia	Plesetsk Cosmodrome	Tsyklon 3	2001-058F	27060	"Civilian reconnaissance/communications spacecraft to locate and report natural and man-made environmental disasters; relay messages, same as earlier six Gonets."		JMSatcat304	http://www.astronautix.com/craft/gonetsd1.htm	http://nssdc.gsfc.nasa.gov/spacewarn/spx579.html	http://www.spaceandtech.com/spacedata/logs/2001/2001-058b_gonetsd1_sumpub.shtml	http://www.uhf-satcom.com/gonets/																																																																																																																																																																																																																																
Gonets M-5	Russia	Gonets Satcom	Commercial	Communications	LEO	Intermediate	0	"1,497"	"1,507"	6.35E-04	82.4	116.03	280		40	9/8/2010	5 yrs.	OAO-ISS	Russia	Plesetsk Cosmodrome	Rokot	2010-043B	37153	"Civilian version of military Strela 3 store-dump communications satellite; fleet will have 36 craft, with six craft per orbital plane."		SC - ASCR	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/043C.HTM&act=print	http://russianforces.org/blog/2010/09/gonets-m_strela-3_and_strela-3.shtml																																																																																																																																																																																																																																		
