"Name of Satellite, Alternate Names"	Country of Operator/Owner	Operator/Owner	Users	Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																														
AISSat-1 (Automatic Identification System Satellite-1)	Norway	Norwegian Space Centre\Norwegian Defence Research Establishment (FFI)	Government	Technology Development	LEO	Sun-Synchronous	0	619	636	1.21E-03	98.15	97.26	6			7/12/2010	3 yrs.	Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies	Canada	Sriharikota Launch Station	PSLV	2010-035C	36797	Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.		SC - ASCR	http://www.utias-sfl.net/nanosatellites/AISSat-1/	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035C.HTM	http://directory.eoportal.org/presentations/210/10000834.html																																																																																																																																																																																																																																	
Akebono (EXOS-D)	Japan	"Institute of Space and Aeronautical Science, University of Tokyo"	Civil	Space Physics	Elliptical		0	264	"5,732"	2.92E-01	75.1	150.4		294	270 (EOL)	2/21/1989	1 yr.	"Institute of Space and Aeronautical Science, University of Tokyo"	Japan	Uchinoura Space Center	Mu 3S2	1989-016A	19822	Investigate particle acceleration regions above auroral region; develop better understanding of acceleration mechanism and relation to substorm phenomena.		JMSatcat304	http://www.rolfisoft.de/html/satdb_1989_eng.html	http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1989-016A	http://www.jaxa.jp/missions/projects/sat/geospace/akebono/index_e.html																																																																																																																																																																																																																																	
Alsat-2A (Algeria Satellite 2A)	Algeria	Centre National des Techniques Spatiales (CNTS)	Government	Earth Observation	LEO	Sun-Synchronous	0	672	674	1.42E-04	98.23	98.21	130			7/12/2010	5 yrs.	EADS Astrium	France/UK/German/Spain	Sriharikota Launch Station	PSLV	2010-035D	36798	"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning."		SC - ASCR	http://directory.eoportal.org/get_announce.php?an_id=14250	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035D.HTM																																																																																																																																																																																																																																		
Amazonas 	Brazil	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications	GEO		-61.02	"35,776"	"35,797"	2.49E-04	0.04	1436.1	"4,545"	"2,000"	"9,500 (EOL)"	8/4/2004	15 yrs.	EADS Astrium	France/UK/Germany/Spain	Baikonur Cosmodrome	Proton M	2004-031A	28393	"36 Ku-band, 27 C-band transponders; North and South American continents; Spanish language; leak detected - may not have enough fuel for 15-year life."		JM/12_08	http://www.heavens-above.com/satinfo.asp?satid=28393	http://www.universetoday.com/am/publish/proton_launches_amazonas_satellite.html	http://www.space.com/missionlaunches/proton_launch_040805.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																																
Amazonas-2	Spain	Hispasat	Commercial	Communications	GEO		-61	"35,767"	"35,805"	4.51E-04	0.03	1436.08	"5,465"		"15,300"	10/1/2009	15 yrs.	EADS Astrium	France/UK/Germany/Spain	Guiana Space Center	Ariane 5	2009-054A	35942	"54 Ku-band, 10 C-band transponders; North, Central and South America."		JM/12_09	http://nssdc.gsfc.nasa.gov/spacewarn/spx672.html	http://www.hispasat.com/List.aspx?ShowSearch=true&sectionsId=87&lang=en																																																																																																																																																																																																																																		
"AMC-1 (Americom 1, GE-1)"	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-103.02	"35,772"	"35,800"	3.32E-04	0.03	1436.1	"2,783"	"1,600"	"6,500 (EOL)"	9/8/1996	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Cape Canaveral	Atlas 2A	1996-054A	24315	"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean"		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/	http://ses-americom.com/satellites/amc-1.html	http://www.chinastar.com.cn/english/sate/xnzb.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																																
"AMC-10 (Americom-10, GE 10)"	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-134.97	"35,775"	"35,797"	2.61E-04	0.01	1436.09	"2,315"	907	"6,500 (EOL)"	2/5/2004	15 yrs.	Lockheed Martin	USA	Cape Canaveral	Atlas 2AS	2004-003A	28154	24 C-band transponders.		JM/12_08	http://www.ses-americom.com/media/2004/02_05_04.html	http://www.ses-americom.com/satellites/amc-10-11.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx604.html	http://www.planet4589.org/space/jsr/back/news.520																																																																																																																																																																																																																																
"AMC-11 (Americom-11, GE 11)"	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-130.93	"35,774"	"35,797"	2.73E-04	0.04	1436.07	"2,340"	"2,316 (BOL)"	"6,500 (EOL)"	5/19/2004	15 yrs.	Lockheed Martin	USA	Cape Canaveral	Atlas 2AS	2004-017A	28252	24 C-band transponders.		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx607.html	http://www.ses-americom.com/satellites/amc-10-11.html	http://www.spaceref.com/news/viewpr.html?pid=14268	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.lib.cas.cz/www/space.40/2004/017A.HTM																																																																																																																																																																																																																															
AMC-15 (Americom-15)	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-105.04	"35,777"	"35,795"	2.13E-04	0.04	1436.08	"4,200"			10/14/2004	15 yrs.	Lockheed Martin	USA	Baikonur Cosmodrome	Proton M	2004-041A	28446	"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx612.html	http://www.ses-americom.com/satellites/amc-15.html	http://www.lib.cas.cz/www/space.40/2004/041A.HTM																																																																																																																																																																																																																																
AMC-16 (Americom-16)	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-84.98	"35,780"	"35,793"	1.54E-04	0.02	1436.1	"4,312"			12/17/2004	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Cape Canaveral	Atlas 5	2004-048A	28472	"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."		JM/12_08	http://www.lib.cas.cz/www/space.40/2004/048A.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html	http://www.ses-americom.com/satellites/amc-16.html	http://www.rednova.com/news/display/?id=112116																																																																																																																																																																																																																																
